Date,Volume,Open,High,Low,Close,Adj Close
02-11-20,50708000,81.41,83.04,80.80,81.30,81.30
03-11-20,33234000,81.59,83.08,80.83,82.51,82.51
04-11-20,71418000,85.51,88.57,85.30,87.46,87.46
05-11-20,41316000,89.05,89.68,87.53,88.17,88.17
06-11-20,33218000,87.70,88.62,87.02,88.09,88.09
09-11-20,45366000,89.54,90.90,88.00,88.15,88.15
10-11-20,52722000,86.55,88.15,85.86,87.02,87.02
11-11-20,25280000,87.50,88.21,87.37,87.64,87.64
12-11-20,24950000,87.38,88.41,87.28,87.49,87.49
13-11-20,29998000,87.88,89.05,87.23,88.85,88.85
16-11-20,24936000,88.58,89.95,88.38,89.07,89.07
17-11-20,22942000,88.85,89.25,88.35,88.51,88.51
18-11-20,23470000,88.26,88.67,87.31,87.34,87.34
19-11-20,24998000,86.92,88.48,86.85,88.20,88.20
20-11-20,46270000,88.26,88.70,87.09,87.11,87.11
23-11-20,43232000,87.48,87.70,85.89,86.74,86.74
24-11-20,31560000,86.53,88.58,86.38,88.44,88.44
25-11-20,20916000,88.64,88.93,87.83,88.57,88.57
27-11-20,17698000,88.65,90.20,88.62,89.66,89.66
30-11-20,36476000,89.06,89.40,87.75,88.04,88.04
01-12-20,34738000,88.72,91.24,88.47,89.90,89.90
02-12-20,24440000,89.90,91.78,89.47,91.40,91.40
03-12-20,24546000,91.20,92.36,91.13,91.34,91.34
04-12-20,27564000,91.23,91.66,90.85,91.40,91.40
07-12-20,26418000,90.95,91.62,90.29,90.97,90.97
08-12-20,21926000,90.50,91.10,89.81,90.93,90.93
09-12-20,30152000,90.60,91.71,88.39,89.21,89.21
10-12-20,27256000,88.49,89.07,87.02,88.77,88.77
11-12-20,24414000,88.15,89.22,88.00,89.09,89.09
14-12-20,32004000,88.75,89.87,87.86,88.00,88.00
15-12-20,29646000,88.22,88.57,87.50,88.39,88.39
16-12-20,30270000,88.64,88.65,87.80,88.15,88.15
17-12-20,32494000,88.43,88.59,86.93,87.39,87.39
18-12-20,80328000,87.71,87.76,86.01,86.55,86.55
21-12-20,36568000,85.68,87.04,84.95,86.97,86.97
22-12-20,18734000,86.72,86.87,85.63,86.18,86.18
23-12-20,20676000,86.41,87.40,86.25,86.62,86.62
24-12-20,6936000,86.75,87.30,86.46,86.94,86.94
28-12-20,27860000,87.58,89.54,87.32,88.80,88.80
29-12-20,25988000,89.39,89.62,87.80,87.94,87.94
30-12-20,26122000,88.10,88.25,86.28,86.98,86.98
31-12-20,20238000,86.77,87.95,86.77,87.59,87.59
04-01-21,38038000,87.88,88.03,85.39,86.41,86.41
05-01-21,22906000,86.25,87.38,85.90,87.05,87.05
06-01-21,52042000,85.13,87.40,84.95,86.76,86.76
07-01-21,45300000,87.00,89.42,86.85,89.36,89.36
08-01-21,41012000,89.40,90.49,88.68,90.36,90.36
11-01-21,24194000,89.30,89.72,88.03,88.34,88.34
12-01-21,27140000,87.70,88.90,86.27,87.33,87.33
13-01-21,21882000,86.93,88.25,86.90,87.72,87.72
14-01-21,23590000,87.68,88.75,86.67,87.01,87.01
15-01-21,26844000,86.91,87.80,86.08,86.81,86.81
19-01-21,34692000,87.61,90.46,87.07,89.54,89.54
20-01-21,49806000,91.57,95.19,91.28,94.35,94.35
21-01-21,41278000,94.90,96.74,94.36,94.56,94.56
22-01-21,25442000,94.78,95.55,94.09,95.05,95.05
25-01-21,38546000,96.03,96.48,93.38,94.97,94.97
